Date,"Hours_Watched","HW gain %","Avg_Viewers","Avg. View. Gain %","Peak_Viewers",Airtime,"Followers_Gained","Live Views","Authorized Viewers","Auth. / All Viewers Ratio","Unique Viewers"
"01 January, 2023",-,-,-,-,-,-,556,-,-,-,-
"02 January, 2023","1 270 326",137.85%,"60 976",18.93%,"78 919","20h 50m","6 987",0,"493 000",92%,"536 266"
"03 January, 2023","19 670",-98.45%,"47 208",-22.58%,"52 379",25m,69,"2 967 168","74 000",125%,"59 264"
"04 January, 2023","957 592",5K%,"56 607",19.91%,"85 226","16h 55m","4 913",0,"184 000",92%,"199 188"
"05 January, 2023","189 060",-80.26%,"59 703",5.47%,"69 951","3h 10m",795,"2 745 002","160 000",94%,"169 943"
"06 January, 2023","160 857",-14.92%,"53 619",-10.19%,"67 248","3h ",955,0,"150 000",91%,"165 519"
"07 January, 2023","503 560",213.05%,"59 829",11.58%,"84 025","8h 25m","2 338","1 769 981","260 000",89%,"290 720"
"08 January, 2023","156 258",-68.97%,"52 086",-12.94%,"64 002","3h ","1 156","557 773","150 000",93%,"161 878"
"09 January, 2023","625 643",300.39%,"63 625",22.15%,"81 589","9h 50m","2 126","1 591 147","337 000",89%,"379 099"
"10 January, 2023","1 177 723",88.24%,"59 632",-6.28%,"76 067","19h 45m","4 958",0,"466 000",90%,"517 659"
"11 January, 2023","20 756",-98.24%,"62 267",4.42%,"65 581",20m,72,"2 699 442","57 000",91%,"62 652"
"12 January, 2023","979 672",5K%,"52 955",-14.95%,"65 969","18h 30m","3 303","2 132 905","406 000",91%,"447 475"
"13 January, 2023",-,-,-,-,-,-,290,-,-,-,-
"14 January, 2023","451 272",-53.94%,"49 681",-6.18%,"59 944","9h 5m","1 723","1 065 273","224 000",91%,"245 897"
"15 January, 2023","1 263 023",179.88%,"58 974",18.71%,"76 935","21h 25m","3 676",0,"459 000",92%,"498 530"
"16 January, 2023",-,-,-,-,-,-,75,-,-,-,-
"17 January, 2023","543 590",-56.96%,"51 363",-12.91%,"62 423","10h 35m","1 211","1 230 317","244 000",91%,"269 372"
"18 January, 2023","19 970",-96.33%,"34 233",-33.35%,"54 259",35m,39,0,"80 000",78%,"102 732"
"19 January, 2023","287 098",1K%,"70 310",105.39%,"86 962","4h 5m",625,"1 037 825","182 000",88%,"206 377"
"20 January, 2023","736 700",156.60%,"49 113",-30.15%,"68 211","15h ","1 673",0,"318 000",94%,"338 917"
"21 January, 2023","164 929",-77.61%,"52 083",6.05%,"59 476","3h 10m",548,"2 355 488","140 000",100%,"140 600"
"22 January, 2023","742 716",350.32%,"53 052",1.86%,"76 862","14h ","2 863",0,"343 000",93%,"367 124"
