Date,"Hours_Watched","HW gain %","Avg_Viewers","Avg. View. Gain %","Peak_Viewers",Airtime,"Followers_Gained","Live Views","Authorized Viewers","Auth. / All Viewers Ratio","Unique Viewers"
"01 January, 2022",-,-,-,-,-,-,"2 484",-,-,-,-
"02 January, 2022","974 109",34.78%,"75 905",-1.98%,"110 781","12h 50m","9 307","50 654","496 000",89%,"559 850"
"03 January, 2022","820 383",-15.78%,"87 898",15.80%,"130 320","9h 20m","5 224","45 526","359 000",86%,"416 419"
"04 January, 2022","796 269",-2.94%,"75 835",-13.72%,"93 665","10h 30m","4 858","40 453","352 000",83%,"422 399"
"05 January, 2022","573 131",-28.02%,"59 805",-21.14%,"75 291","9h 35m","4 657","1 420 504","299 000",91%,"328 843"
"06 January, 2022","826 634",44.23%,"71 364",19.33%,"99 740","11h 35m","6 183","36 528","404 000",86%,"468 806"
"07 January, 2022","268 524",-67.52%,"74 937",5.01%,"107 845","3h 35m","2 883","676 748","244 000",88%,"276 498"
"08 January, 2022","872 638",224.98%,"83 773",11.79%,"106 320","10h 25m","6 079",0,"402 000",86%,"469 797"
"09 January, 2022","1 044 766",19.73%,"81 411",-2.82%,"117 617","12h 50m","10 062","56 718","562 000",88%,"640 468"
"10 January, 2022","668 675",-36%,"81 879",0.58%,"105 113","8h 10m","4 863","58 082","374 000",88%,"426 285"
"11 January, 2022","596 957",-10.73%,"75 405",-7.91%,"101 571","7h 55m","4 894","1 851 639","348 000",86%,"406 712"
"12 January, 2022","1 189 894",99.33%,"69 315",-8.08%,"107 449","17h 10m","8 302",0,"579 000",86%,"672 374"
"13 January, 2022","654 532",-44.99%,"88 252",27.32%,"116 622","7h 25m","4 490","4 291 589","360 000",82%,"438 326"
"14 January, 2022","695 658",6.28%,"75 890",-14.01%,"97 479","9h 10m","4 761","2 402 403","353 000",88%,"402 358"
"15 January, 2022","803 435",15.49%,"84 572",11.44%,"112 598","9h 30m","5 198","2 444 407","379 000",87%,"436 954"
"16 January, 2022","776 349",-3.37%,"75 742",-10.44%,"97 209","10h 15m","5 357","1 979 759","341 000",87%,"390 691"
"17 January, 2022","1 408 627",81.44%,"75 463",-0.37%,"100 462","18h 40m","10 861",0,"563 000",88%,"639 838"
